"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty18183","Whitley County, IN",56039
"cty42129","Westmoreland County, PA",55991
"cty19155","Pottawattamie County, IA",55986
"cty19019","Buchanan County, IA",55978
"cty39011","Auglaize County, OH",55962
"cty38067","Pembina County, ND",55937
"cty56045","Weston County, WY",55937
"cty41017","Deschutes County, OR",55929
"cty48029","Bexar County, TX",55911
"cty27017","Carlton County, MN",55863
"cty21113","Jessamine County, KY",55857
"cty26015","Barry County, MI",55848
"cty20113","McPherson County, KS",55826
"cty17079","Jasper County, IL",55773
"cty45015","Berkeley County, SC",55676
"cty27089","Marshall County, MN",55675
"cty51109","Louisa County, VA",55659
"cty12085","Martin County, FL",55654
"cty05085","Lonoke County, AR",55635
"cty55117","Sheboygan County, WI",55611
"cty39069","Henry County, OH",55608
"cty21067","Fayette County, KY",55605
"cty39051","Fulton County, OH",55602
"cty20173","Sedgwick County, KS",55598
"cty49023","Juab County, UT",55590
"cty40151","Woods County, OK",55570
"cty39107","Mercer County, OH",55564
"cty20083","Hodgeman County, KS",55549
"cty17107","Logan County, IL",55514
"cty19085","Harrison County, IA",55494
"cty26005","Allegan County, MI",55488
"cty55083","Oconto County, WI",55459
"cty22121","West Baton Rouge Parish, LA",55456
"cty06011","Colusa County, CA",55448
"cty41071","Yamhill County, OR",55441
"cty48199","Hardin County, TX",55373
"cty17073","Henry County, IL",55351
"cty51181","Surry County, VA",55339
"cty51015","Augusta County, VA",55336
"cty45045","Greenville County, SC",55331
"cty17131","Mercer County, IL",55282
"cty24029","Kent County, MD",55275
"cty37129","New Hanover County, NC",55257
"cty10001","Kent County, DE",55257
"cty17143","Peoria County, IL",55253
"cty27121","Pope County, MN",55249
"cty40143","Tulsa County, OK",55237
"cty19015","Boone County, IA",55222
"cty13227","Pickens County, GA",55204
"cty46013","Brown County, SD",55190
"cty31033","Cheyenne County, NE",55184
"cty41009","Columbia County, OR",55175
"cty55127","Walworth County, WI",55172
"cty27015","Brown County, MN",55161
"cty17105","Livingston County, IL",55136
"cty18147","Spencer County, IN",55122
"cty38097","Traill County, ND",55117
"cty38045","LaMoure County, ND",55113
"cty42119","Union County, PA",55111
"cty37055","Dare County, NC",55079
"cty18159","Tipton County, IN",55067
"cty27067","Kandiyohi County, MN",55061
"cty32003","Clark County, NV",55047
"cty31099","Kearney County, NE",55046
"cty38093","Stutsman County, ND",55045
"cty16019","Bonneville County, ID",54967
"cty31019","Buffalo County, NE",54966
"cty48019","Bandera County, TX",54952
"cty38031","Foster County, ND",54932
"cty06101","Sutter County, CA",54922
"cty33003","Carroll County, NH",54907
"cty24045","Wicomico County, MD",54890
"cty17049","Effingham County, IL",54888
"cty17085","Jo Daviess County, IL",54872
"cty51133","Northumberland County, VA",54862
"cty39109","Miami County, OH",54842
"cty53017","Douglas County, WA",54837
"cty31013","Box Butte County, NE",54806
"cty20085","Jackson County, KS",54799
"cty38027","Eddy County, ND",54798
"cty55139","Winnebago County, WI",54788
"cty12115","Sarasota County, FL",54777
"cty20081","Haskell County, KS",54762
"cty19095","Iowa County, IA",54741
"cty17037","DeKalb County, IL",54730
"cty25013","Hampden County, MA",54715
"cty29113","Lincoln County, MO",54711
"cty46091","Marshall County, SD",54708
"cty38009","Bottineau County, ND",54703
"cty48021","Bastrop County, TX",54699
"cty27055","Houston County, MN",54673
"cty39123","Ottawa County, OH",54663
"cty45035","Dorchester County, SC",54641
"cty46039","Deuel County, SD",54641
"cty01115","St. Clair County, AL",54639
"cty20095","Kingman County, KS",54636
"cty27045","Fillmore County, MN",54622
"cty22055","Lafayette Parish, LA",54581
"cty39063","Hancock County, OH",54561
"cty40051","Grady County, OK",54557
