"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty17117","Macoupin County, IL",0.8982
"cty19105","Jones County, IA",0.8982
"cty32001","Churchill County, NV",0.898
"cty31175","Valley County, NE",0.898
"cty26041","Delta County, MI",0.8979
"cty16029","Caribou County, ID",0.8979
"cty55043","Grant County, WI",0.8979
"cty23003","Aroostook County, ME",0.8978
"cty51153","Prince William County, VA",0.8978
"cty31073","Gosper County, NE",0.8978
"cty37113","Macon County, NC",0.8977
"cty51191","Washington County, VA",0.8977
"cty36027","Dutchess County, NY",0.8976
"cty19001","Adair County, IA",0.8976
"cty17135","Montgomery County, IL",0.8976
"cty31025","Cass County, NE",0.8975
"cty06057","Nevada County, CA",0.8974
"cty27031","Cook County, MN",0.8974
"cty42083","McKean County, PA",0.8973
"cty20003","Anderson County, KS",0.8973
"cty08061","Kiowa County, CO",0.8973
"cty36055","Monroe County, NY",0.8972
"cty47137","Pickett County, TN",0.8972
"cty54049","Marion County, WV",0.8972
"cty51057","Essex County, VA",0.8972
"cty30059","Meagher County, MT",0.8972
"cty48491","Williamson County, TX",0.8971
"cty51027","Buchanan County, VA",0.8971
"cty42033","Clearfield County, PA",0.8971
"cty31141","Platte County, NE",0.8971
"cty06011","Colusa County, CA",0.8971
"cty35011","De Baca County, NM",0.897
"cty39109","Miami County, OH",0.897
"cty18033","DeKalb County, IN",0.897
"cty54093","Tucker County, WV",0.8969
"cty55009","Brown County, WI",0.8968
"cty38019","Cavalier County, ND",0.8968
"cty42131","Wyoming County, PA",0.8968
"cty05129","Searcy County, AR",0.8968
"cty08014","Broomfield County, CO",0.8968
"cty17123","Marshall County, IL",0.8968
"cty27101","Murray County, MN",0.8967
"cty30045","Judith Basin County, MT",0.8967
"cty37041","Chowan County, NC",0.8966
"cty29151","Osage County, MO",0.8965
"cty13219","Oconee County, GA",0.8965
"cty27145","Stearns County, MN",0.8965
"cty26053","Gogebic County, MI",0.8963
"cty51197","Wythe County, VA",0.8963
"cty42061","Huntingdon County, PA",0.8962
"cty29101","Johnson County, MO",0.8962
"cty17141","Ogle County, IL",0.8962
"cty18157","Tippecanoe County, IN",0.8962
"cty30093","Silver Bow County, MT",0.8961
"cty06035","Lassen County, CA",0.8961
"cty25005","Bristol County, MA",0.896
"cty06085","Santa Clara County, CA",0.896
"cty05053","Grant County, AR",0.896
"cty36113","Warren County, NY",0.896
"cty31001","Adams County, NE",0.8959
"cty19151","Pocahontas County, IA",0.8959
"cty27139","Scott County, MN",0.8958
"cty16043","Fremont County, ID",0.8958
"cty36111","Ulster County, NY",0.8958
"cty55123","Vernon County, WI",0.8957
"cty19129","Mills County, IA",0.8957
"cty21019","Boyd County, KY",0.8957
"cty46099","Minnehaha County, SD",0.8956
"cty51181","Surry County, VA",0.8956
"cty37087","Haywood County, NC",0.8956
"cty51015","Augusta County, VA",0.8956
"cty19063","Emmet County, IA",0.8956
"cty40035","Craig County, OK",0.8955
"cty48447","Throckmorton County, TX",0.8955
"cty27003","Anoka County, MN",0.8954
"cty29165","Platte County, MO",0.8954
"cty20121","Miami County, KS",0.8954
"cty51099","King George County, VA",0.8954
"cty20127","Morris County, KS",0.8954
"cty19045","Clinton County, IA",0.8953
"cty42127","Wayne County, PA",0.8952
"cty19033","Cerro Gordo County, IA",0.8952
"cty36065","Oneida County, NY",0.8952
"cty34033","Salem County, NJ",0.8951
"cty48205","Hartley County, TX",0.8951
"cty26111","Midland County, MI",0.895
"cty46115","Spink County, SD",0.895
"cty36043","Herkimer County, NY",0.895
"cty17077","Jackson County, IL",0.8948
"cty02195","Copper River Census Area, AK",0.7899
"cty46067","Hutchinson County, SD",0.8948
"cty54005","Boone County, WV",0.8947
"cty16081","Teton County, ID",0.8947
"cty27105","Nobles County, MN",0.8947
"cty19123","Mahaska County, IA",0.8947
"cty36117","Wayne County, NY",0.8947
"cty18069","Huntington County, IN",0.8946
"cty46033","Custer County, SD",0.8946
